ano,mes,id_verbete,valor_total
2015,1,160,10020705170.0
2015,1,161,2571444465.0
2015,1,162,304829194.0
2015,1,171,78318169.0
2015,1,399,34834306578.0
2015,1,899,34834306578.0
2015,2,160,7849779419.0
2015,2,161,2571863585.0
2015,2,162,306515589.0
2015,2,171,77453579.0
2015,2,399,32939108930.0
2015,2,899,32939108930.0
2015,3,160,7993315399.0
2015,3,161,2581876833.0
2015,3,162,309676630.0
2015,3,171,77760110.0
2015,3,399,33637792809.0
2015,3,899,33637792809.0
2015,4,160,11885953520.0
2015,4,161,2579873636.0
2015,4,162,306669262.0
2015,4,171,75892847.0
2015,4,399,36986736088.0
2015,4,899,36986736088.0
2015,5,160,9573599345.0
2015,5,161,2581428956.0
2015,5,162,307947174.0
2015,5,171,74945960.0
2015,5,399,34740936348.0
2015,5,899,34740936348.0
2015,6,160,9951084011.0
2015,6,161,2586722717.0
2015,6,162,323373374.0
2015,6,171,73556825.0
2015,6,399,35008530453.0
2015,6,899,35008530453.0
2015,7,160,9506117256.0
2015,7,161,2564214830.0
2015,7,162,315750570.0
2015,7,171,72443251.0
2015,7,399,34552989063.0
2015,7,899,34552989063.0
2015,8,160,9578317323.0
2015,8,161,2621678378.0
2015,8,162,313899587.0
2015,8,171,72089557.0
2015,8,399,40423008979.0
2015,8,899,40423008979.0
2015,9,160,12317266864.0
2015,9,161,2587638598.0
2015,9,162,313419030.0
2015,9,171,78328346.0
2015,9,399,43613405011.0
2015,9,899,43613405011.0
2015,10,160,10091171025.0
2015,10,161,2556109104.0
2015,10,162,308769559.0
2015,10,171,77573957.0
2015,10,399,42160248778.0
2015,10,899,42160248778.0
2015,11,160,11482923407.0
2015,11,161,2608318689.0
2015,11,162,242226160.0
2015,11,171,76660117.0
2015,11,399,42141730941.0
2015,11,899,42141730941.0
2015,12,160,9763780032.0
2015,12,161,2513602017.0
2015,12,162,331493891.0
2015,12,171,77849145.0
2015,12,399,38926603506.0
2015,12,899,38926603506.0
2016,1,160,10725794302.0
2016,1,161,2508906146.0
2016,1,162,333585081.0
2016,1,171,77357105.0
2016,1,399,44417404847.0
2016,1,899,44417404847.0
2016,2,160,12670633383.0
2016,2,161,2517209891.0
2016,2,162,329899040.0
2016,2,171,76560280.0
2016,2,399,56482794123.0
2016,2,899,56482794123.0
2016,3,160,18449871131.0
2016,3,161,2492335627.0
2016,3,162,332122628.0
2016,3,171,75794631.0
2016,3,399,82708916225.0
2016,3,899,82708916225.0
2016,4,160,21617113959.0
2016,4,161,2487707954.0
2016,4,162,327154089.0
2016,4,171,88377407.0
2016,4,399,126462487479.0
2016,4,899,126462487479.0
2016,5,160,18887987237.0
2016,5,161,2477633563.0
2016,5,162,332062750.0
2016,5,171,88027227.0
2016,5,399,205315116887.0
2016,5,899,205315116887.0
2016,6,160,33468218132.0
2016,6,161,2555675113.0
2016,6,162,336769228.0
2016,6,171,87290572.0
2016,6,399,57323585746.0
2016,6,899,57323585746.0
2016,7,160,17274673304.0
2016,7,161,2540773993.0
2016,7,162,339288290.0
2016,7,171,86972086.0
2016,7,399,41097260635.0
2016,7,899,41097260635.0
2016,8,160,10836828988.0
2016,8,161,2506576862.0
2016,8,162,334754882.0
2016,8,171,85933600.0
2016,8,399,34829447061.0
2016,8,899,34829447061.0
2016,9,160,11887269614.0
2016,9,161,2478562826.0
2016,9,162,328324891.0
2016,9,171,84979805.0
2016,9,399,36289179289.0
2016,9,899,36289179289.0
2016,10,160,22186733495.0
2016,10,161,2414626821.0
2016,10,162,313735385.0
2016,10,171,121984061.0
2016,10,399,46506656849.0
2016,10,899,46506656849.0
2016,11,160,17811304968.0
2016,11,161,2288492288.0
2016,11,162,310440059.0
2016,11,171,120179791.0
2016,11,399,42856181564.0
2016,11,899,42856181564.0
2016,12,160,15101692200.0
2016,12,161,2232970381.0
2016,12,162,303110221.0
2016,12,171,119174407.0
2016,12,399,34533517314.0
2016,12,899,34533517314.0
2017,1,160,16250242871.0
2017,1,161,2183580525.0
2017,1,162,294063711.0
2017,1,171,116790515.0
2017,1,399,35413014812.0
2017,1,899,35413014812.0
2017,2,160,19760839469.0
2017,2,161,2173308895.0
2017,2,162,289280331.0
2017,2,171,115251657.0
2017,2,399,44362735764.0
2017,2,899,44362735764.0
2017,3,160,18656267890.0
2017,3,161,2170530414.0
2017,3,162,284137594.0
2017,3,171,112817612.0
2017,3,399,44280677961.0
2017,3,899,44280677961.0
2017,4,160,13015165241.0
2017,4,161,2171060582.0
2017,4,162,280914623.0
2017,4,171,111561404.0
2017,4,399,37936441546.0
2017,4,899,37936441546.0
2017,5,160,16246625072.0
2017,5,161,2160016604.0
2017,5,162,317451136.0
2017,5,171,109661032.0
