ano,mes,cnpj_basico,instituicao,agencias_processadas
2019,4,60701190,ITAÚ UNIBANCO S.A.,19
2019,5,60746948,BCO BRADESCO S.A.,26
2019,5,33479023,BCO CITIBANK S.A.,1
2019,5,00000000,BCO DO BRASIL S.A.,16
2019,5,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,5,58160789,BCO SAFRA S.A.,1
2019,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,5,00360305,CAIXA ECONOMICA FEDERAL,14
2019,5,60701190,ITAÚ UNIBANCO S.A.,17
2019,6,60746948,BCO BRADESCO S.A.,26
2019,6,33479023,BCO CITIBANK S.A.,1
2019,6,00000000,BCO DO BRASIL S.A.,16
2019,6,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,6,58160789,BCO SAFRA S.A.,1
2019,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,6,00360305,CAIXA ECONOMICA FEDERAL,14
2019,6,60701190,ITAÚ UNIBANCO S.A.,16
2019,7,60746948,BCO BRADESCO S.A.,26
2019,7,33479023,BCO CITIBANK S.A.,1
2019,7,00000000,BCO DO BRASIL S.A.,16
2019,7,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,7,58160789,BCO SAFRA S.A.,1
2019,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,7,00360305,CAIXA ECONOMICA FEDERAL,14
2019,7,60701190,ITAÚ UNIBANCO S.A.,16
2019,8,60746948,BCO BRADESCO S.A.,26
2019,8,33479023,BCO CITIBANK S.A.,1
2019,8,00000000,BCO DO BRASIL S.A.,15
2019,8,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,8,58160789,BCO SAFRA S.A.,1
2019,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,8,00360305,CAIXA ECONOMICA FEDERAL,14
2019,8,60701190,ITAÚ UNIBANCO S.A.,16
2019,9,60746948,BCO BRADESCO S.A.,26
2019,9,33479023,BCO CITIBANK S.A.,1
2019,9,00000000,BCO DO BRASIL S.A.,14
2019,9,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,9,58160789,BCO SAFRA S.A.,1
2019,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,9,00360305,CAIXA ECONOMICA FEDERAL,14
2019,9,60701190,ITAÚ UNIBANCO S.A.,16
2019,10,60746948,BCO BRADESCO S.A.,26
2019,10,33479023,BCO CITIBANK S.A.,1
2019,10,00000000,BCO DO BRASIL S.A.,14
2019,10,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,10,58160789,BCO SAFRA S.A.,1
2019,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,10,00360305,CAIXA ECONOMICA FEDERAL,14
2019,10,60701190,ITAÚ UNIBANCO S.A.,16
2019,11,60746948,BCO BRADESCO S.A.,25
2019,11,33479023,BCO CITIBANK S.A.,1
2019,11,00000000,BCO DO BRASIL S.A.,14
2019,11,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,11,58160789,BCO SAFRA S.A.,1
2019,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,11,00360305,CAIXA ECONOMICA FEDERAL,14
2019,11,60701190,ITAÚ UNIBANCO S.A.,15
2019,12,60746948,BCO BRADESCO S.A.,25
2019,12,33479023,BCO CITIBANK S.A.,1
2019,12,00000000,BCO DO BRASIL S.A.,14
2019,12,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2019,12,58160789,BCO SAFRA S.A.,1
2019,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2019,12,00360305,CAIXA ECONOMICA FEDERAL,14
2019,12,60701190,ITAÚ UNIBANCO S.A.,15
2020,1,60746948,BCO BRADESCO S.A.,25
2020,1,33479023,BCO CITIBANK S.A.,1
2020,1,00000000,BCO DO BRASIL S.A.,14
2020,1,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,1,58160789,BCO SAFRA S.A.,1
2020,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,1,00360305,CAIXA ECONOMICA FEDERAL,14
2020,1,60701190,ITAÚ UNIBANCO S.A.,15
2020,2,60746948,BCO BRADESCO S.A.,25
2020,2,33479023,BCO CITIBANK S.A.,1
2020,2,00000000,BCO DO BRASIL S.A.,14
2020,2,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,2,58160789,BCO SAFRA S.A.,1
2020,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,2,00360305,CAIXA ECONOMICA FEDERAL,14
2020,2,60701190,ITAÚ UNIBANCO S.A.,15
2020,3,60746948,BCO BRADESCO S.A.,25
2020,3,33479023,BCO CITIBANK S.A.,1
2020,3,00000000,BCO DO BRASIL S.A.,14
2020,3,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,3,58160789,BCO SAFRA S.A.,1
2020,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,3,00360305,CAIXA ECONOMICA FEDERAL,14
2020,3,60701190,ITAÚ UNIBANCO S.A.,15
2020,4,60746948,BCO BRADESCO S.A.,26
2020,4,33479023,BCO CITIBANK S.A.,1
2020,4,00000000,BCO DO BRASIL S.A.,14
2020,4,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,4,58160789,BCO SAFRA S.A.,1
2020,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,4,00360305,CAIXA ECONOMICA FEDERAL,14
2020,4,60701190,ITAÚ UNIBANCO S.A.,15
2020,5,60746948,BCO BRADESCO S.A.,19
2020,5,33479023,BCO CITIBANK S.A.,1
2020,5,00000000,BCO DO BRASIL S.A.,14
2020,5,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,5,58160789,BCO SAFRA S.A.,1
2020,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,5,00360305,CAIXA ECONOMICA FEDERAL,14
2020,5,60701190,ITAÚ UNIBANCO S.A.,14
2020,6,60746948,BCO BRADESCO S.A.,19
2020,6,33479023,BCO CITIBANK S.A.,1
2020,6,00000000,BCO DO BRASIL S.A.,14
2020,6,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,6,58160789,BCO SAFRA S.A.,1
2020,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,6,00360305,CAIXA ECONOMICA FEDERAL,14
2020,6,60701190,ITAÚ UNIBANCO S.A.,14
2020,7,60746948,BCO BRADESCO S.A.,19
2020,7,33479023,BCO CITIBANK S.A.,1
2020,7,00000000,BCO DO BRASIL S.A.,14
2020,7,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,7,58160789,BCO SAFRA S.A.,1
2020,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,7,00360305,CAIXA ECONOMICA FEDERAL,14
2020,7,60701190,ITAÚ UNIBANCO S.A.,14
2020,8,60746948,BCO BRADESCO S.A.,19
2020,8,33479023,BCO CITIBANK S.A.,1
2020,8,00000000,BCO DO BRASIL S.A.,14
2020,8,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,8,58160789,BCO SAFRA S.A.,1
2020,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,8,00360305,CAIXA ECONOMICA FEDERAL,14
2020,8,60701190,ITAÚ UNIBANCO S.A.,15
2020,9,60746948,BCO BRADESCO S.A.,17
2020,9,33479023,BCO CITIBANK S.A.,1
2020,9,00000000,BCO DO BRASIL S.A.,14
2020,9,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,9,58160789,BCO SAFRA S.A.,1
2020,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,9,00360305,CAIXA ECONOMICA FEDERAL,14
2020,9,60701190,ITAÚ UNIBANCO S.A.,15
2020,10,60746948,BCO BRADESCO S.A.,17
2020,10,33479023,BCO CITIBANK S.A.,1
2020,10,00000000,BCO DO BRASIL S.A.,14
2020,10,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2020,10,58160789,BCO SAFRA S.A.,1
2020,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,10,00360305,CAIXA ECONOMICA FEDERAL,14
2020,10,60701190,ITAÚ UNIBANCO S.A.,15
2020,11,60746948,BCO BRADESCO S.A.,16
2020,11,33479023,BCO CITIBANK S.A.,1
2020,11,00000000,BCO DO BRASIL S.A.,14
2020,11,58160789,BCO SAFRA S.A.,1
2020,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,11,00360305,CAIXA ECONOMICA FEDERAL,14
2020,11,60701190,ITAÚ UNIBANCO S.A.,15
2020,12,60746948,BCO BRADESCO S.A.,16
2020,12,33479023,BCO CITIBANK S.A.,1
2020,12,00000000,BCO DO BRASIL S.A.,14
2020,12,58160789,BCO SAFRA S.A.,1
2020,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2020,12,00360305,CAIXA ECONOMICA FEDERAL,14
2020,12,60701190,ITAÚ UNIBANCO S.A.,15
2021,1,60746948,BCO BRADESCO S.A.,16
2021,1,33479023,BCO CITIBANK S.A.,1
2021,1,00000000,BCO DO BRASIL S.A.,14
2021,1,58160789,BCO SAFRA S.A.,1
2021,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,1,00360305,CAIXA ECONOMICA FEDERAL,14
2021,1,60701190,ITAÚ UNIBANCO S.A.,15
2021,2,60746948,BCO BRADESCO S.A.,16
2021,2,33479023,BCO CITIBANK S.A.,1
2021,2,00000000,BCO DO BRASIL S.A.,14
2021,2,58160789,BCO SAFRA S.A.,1
2021,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,2,00360305,CAIXA ECONOMICA FEDERAL,14
2021,2,60701190,ITAÚ UNIBANCO S.A.,15
2021,3,60746948,BCO BRADESCO S.A.,15
2021,3,33479023,BCO CITIBANK S.A.,1
2021,3,00000000,BCO DO BRASIL S.A.,14
2021,3,58160789,BCO SAFRA S.A.,1
2021,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,3,00360305,CAIXA ECONOMICA FEDERAL,14
2021,3,60701190,ITAÚ UNIBANCO S.A.,15
2021,4,60746948,BCO BRADESCO S.A.,15
2021,4,33479023,BCO CITIBANK S.A.,1
2021,4,00000000,BCO DO BRASIL S.A.,13
2021,4,58160789,BCO SAFRA S.A.,1
2021,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,4,00360305,CAIXA ECONOMICA FEDERAL,14
2021,4,60701190,ITAÚ UNIBANCO S.A.,15
2021,5,60746948,BCO BRADESCO S.A.,15
2021,5,33479023,BCO CITIBANK S.A.,1
2021,5,00000000,BCO DO BRASIL S.A.,12
2021,5,58160789,BCO SAFRA S.A.,1
2021,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,5,00360305,CAIXA ECONOMICA FEDERAL,14
2021,5,60701190,ITAÚ UNIBANCO S.A.,15
2021,6,60746948,BCO BRADESCO S.A.,15
2021,6,33479023,BCO CITIBANK S.A.,1
2021,6,00000000,BCO DO BRASIL S.A.,12
2021,6,58160789,BCO SAFRA S.A.,1
2021,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,6,00360305,CAIXA ECONOMICA FEDERAL,14
2021,6,60701190,ITAÚ UNIBANCO S.A.,15
2021,7,60746948,BCO BRADESCO S.A.,12
2021,7,33479023,BCO CITIBANK S.A.,1
2021,7,00000000,BCO DO BRASIL S.A.,12
2021,7,58160789,BCO SAFRA S.A.,1
2021,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,7,00360305,CAIXA ECONOMICA FEDERAL,14
2021,7,60701190,ITAÚ UNIBANCO S.A.,15
2021,8,60746948,BCO BRADESCO S.A.,11
2021,8,33479023,BCO CITIBANK S.A.,1
2021,8,00000000,BCO DO BRASIL S.A.,12
2021,8,58160789,BCO SAFRA S.A.,1
2021,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,8,00360305,CAIXA ECONOMICA FEDERAL,14
2021,8,60701190,ITAÚ UNIBANCO S.A.,15
2021,9,60746948,BCO BRADESCO S.A.,11
2021,9,33479023,BCO CITIBANK S.A.,1
2021,9,00000000,BCO DO BRASIL S.A.,12
2021,9,58160789,BCO SAFRA S.A.,1
2021,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,9,00360305,CAIXA ECONOMICA FEDERAL,14
2021,9,60701190,ITAÚ UNIBANCO S.A.,15
2021,10,60746948,BCO BRADESCO S.A.,10
2021,10,33479023,BCO CITIBANK S.A.,1
2021,10,00000000,BCO DO BRASIL S.A.,12
2021,10,58160789,BCO SAFRA S.A.,1
2021,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,10,00360305,CAIXA ECONOMICA FEDERAL,14
2021,10,60701190,ITAÚ UNIBANCO S.A.,15
2021,11,60746948,BCO BRADESCO S.A.,10
2021,11,33479023,BCO CITIBANK S.A.,1
2021,11,00000000,BCO DO BRASIL S.A.,12
2021,11,58160789,BCO SAFRA S.A.,1
2021,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,11,00360305,CAIXA ECONOMICA FEDERAL,14
2021,11,60701190,ITAÚ UNIBANCO S.A.,15
2021,12,60746948,BCO BRADESCO S.A.,10
2021,12,33479023,BCO CITIBANK S.A.,1
2021,12,00000000,BCO DO BRASIL S.A.,12
2021,12,58160789,BCO SAFRA S.A.,1
2021,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2021,12,00360305,CAIXA ECONOMICA FEDERAL,14
2021,12,60701190,ITAÚ UNIBANCO S.A.,14
2022,1,60746948,BCO BRADESCO S.A.,10
2022,1,33479023,BCO CITIBANK S.A.,1
2022,1,00000000,BCO DO BRASIL S.A.,12
2022,1,58160789,BCO SAFRA S.A.,1
2022,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,1,00360305,CAIXA ECONOMICA FEDERAL,14
2022,1,60701190,ITAÚ UNIBANCO S.A.,14
2022,2,60746948,BCO BRADESCO S.A.,10
2022,2,33479023,BCO CITIBANK S.A.,1
2022,2,00000000,BCO DO BRASIL S.A.,12
2022,2,58160789,BCO SAFRA S.A.,1
2022,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,2,00360305,CAIXA ECONOMICA FEDERAL,14
2022,2,60701190,ITAÚ UNIBANCO S.A.,14
2022,3,60746948,BCO BRADESCO S.A.,10
2022,3,33479023,BCO CITIBANK S.A.,1
2022,3,00000000,BCO DO BRASIL S.A.,12
2022,3,58160789,BCO SAFRA S.A.,1
2022,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,3,00360305,CAIXA ECONOMICA FEDERAL,14
2022,3,60701190,ITAÚ UNIBANCO S.A.,14
2022,4,60746948,BCO BRADESCO S.A.,10
2022,4,33479023,BCO CITIBANK S.A.,1
2022,4,00000000,BCO DO BRASIL S.A.,12
2022,4,58160789,BCO SAFRA S.A.,1
2022,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,4,00360305,CAIXA ECONOMICA FEDERAL,14
2022,4,60701190,ITAÚ UNIBANCO S.A.,14
2022,5,60746948,BCO BRADESCO S.A.,10
2022,5,33479023,BCO CITIBANK S.A.,1
2022,5,00000000,BCO DO BRASIL S.A.,12
2022,5,58160789,BCO SAFRA S.A.,1
2022,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,5,00360305,CAIXA ECONOMICA FEDERAL,14
2022,5,60701190,ITAÚ UNIBANCO S.A.,14
2022,6,60746948,BCO BRADESCO S.A.,10
2022,6,33479023,BCO CITIBANK S.A.,1
2022,6,00000000,BCO DO BRASIL S.A.,12
2022,6,58160789,BCO SAFRA S.A.,1
2022,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,6,00360305,CAIXA ECONOMICA FEDERAL,14
2022,6,60701190,ITAÚ UNIBANCO S.A.,14
2022,7,60746948,BCO BRADESCO S.A.,10
2022,7,33479023,BCO CITIBANK S.A.,1
2022,7,00000000,BCO DO BRASIL S.A.,12
2022,7,58160789,BCO SAFRA S.A.,1
2022,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,7,00360305,CAIXA ECONOMICA FEDERAL,14
2022,7,60701190,ITAÚ UNIBANCO S.A.,14
2022,8,60746948,BCO BRADESCO S.A.,10
2022,8,33479023,BCO CITIBANK S.A.,1
2022,8,00000000,BCO DO BRASIL S.A.,12
2022,8,58160789,BCO SAFRA S.A.,1
2022,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,8,00360305,CAIXA ECONOMICA FEDERAL,14
2022,8,60701190,ITAÚ UNIBANCO S.A.,14
2022,9,60746948,BCO BRADESCO S.A.,9
2022,9,33479023,BCO CITIBANK S.A.,1
2022,9,00000000,BCO DO BRASIL S.A.,12
2022,9,58160789,BCO SAFRA S.A.,1
2022,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,9,00360305,CAIXA ECONOMICA FEDERAL,14
2022,9,60701190,ITAÚ UNIBANCO S.A.,13
2022,10,60746948,BCO BRADESCO S.A.,9
2022,10,33479023,BCO CITIBANK S.A.,1
2022,10,00000000,BCO DO BRASIL S.A.,12
2022,10,58160789,BCO SAFRA S.A.,1
2022,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,10,00360305,CAIXA ECONOMICA FEDERAL,14
2022,10,60701190,ITAÚ UNIBANCO S.A.,14
2022,11,60746948,BCO BRADESCO S.A.,9
2022,11,33479023,BCO CITIBANK S.A.,1
2022,11,00000000,BCO DO BRASIL S.A.,12
2022,11,58160789,BCO SAFRA S.A.,1
2022,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,11,00360305,CAIXA ECONOMICA FEDERAL,14
2022,11,60701190,ITAÚ UNIBANCO S.A.,14
2022,12,60746948,BCO BRADESCO S.A.,9
2022,12,33479023,BCO CITIBANK S.A.,1
2022,12,00000000,BCO DO BRASIL S.A.,12
2022,12,58160789,BCO SAFRA S.A.,1
2022,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2022,12,00360305,CAIXA ECONOMICA FEDERAL,14
2022,12,60701190,ITAÚ UNIBANCO S.A.,13
2023,1,60746948,BCO BRADESCO S.A.,9
2023,1,33479023,BCO CITIBANK S.A.,1
2023,1,00000000,BCO DO BRASIL S.A.,12
2023,1,58160789,BCO SAFRA S.A.,1
2023,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,1,00360305,CAIXA ECONOMICA FEDERAL,14
2023,1,60701190,ITAÚ UNIBANCO S.A.,13
2023,2,60746948,BCO BRADESCO S.A.,9
2023,2,33479023,BCO CITIBANK S.A.,1
2023,2,00000000,BCO DO BRASIL S.A.,12
2023,2,58160789,BCO SAFRA S.A.,1
2023,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,2,00360305,CAIXA ECONOMICA FEDERAL,14
2023,2,60701190,ITAÚ UNIBANCO S.A.,13
2023,3,60746948,BCO BRADESCO S.A.,9
2023,3,33479023,BCO CITIBANK S.A.,1
2023,3,00000000,BCO DO BRASIL S.A.,12
2023,3,58160789,BCO SAFRA S.A.,1
2023,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,3,00360305,CAIXA ECONOMICA FEDERAL,14
2023,3,60701190,ITAÚ UNIBANCO S.A.,12
2023,4,60746948,BCO BRADESCO S.A.,9
2023,4,33479023,BCO CITIBANK S.A.,1
2023,4,00000000,BCO DO BRASIL S.A.,12
2023,4,58160789,BCO SAFRA S.A.,1
2023,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,4,00360305,CAIXA ECONOMICA FEDERAL,14
2023,4,60701190,ITAÚ UNIBANCO S.A.,12
2023,5,60746948,BCO BRADESCO S.A.,9
2023,5,33479023,BCO CITIBANK S.A.,1
2023,5,00000000,BCO DO BRASIL S.A.,12
2023,5,58160789,BCO SAFRA S.A.,1
2023,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,5,00360305,CAIXA ECONOMICA FEDERAL,14
2023,5,60701190,ITAÚ UNIBANCO S.A.,12
2023,6,60746948,BCO BRADESCO S.A.,9
2023,6,33479023,BCO CITIBANK S.A.,1
2023,6,00000000,BCO DO BRASIL S.A.,12
2023,6,58160789,BCO SAFRA S.A.,1
2023,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,6,00360305,CAIXA ECONOMICA FEDERAL,14
2023,6,60701190,ITAÚ UNIBANCO S.A.,12
2023,7,60746948,BCO BRADESCO S.A.,9
2023,7,33479023,BCO CITIBANK S.A.,1
2023,7,00000000,BCO DO BRASIL S.A.,12
2023,7,58160789,BCO SAFRA S.A.,1
2023,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,7,00360305,CAIXA ECONOMICA FEDERAL,14
2023,7,60701190,ITAÚ UNIBANCO S.A.,12
2023,8,60746948,BCO BRADESCO S.A.,8
2023,8,33479023,BCO CITIBANK S.A.,1
2023,8,00000000,BCO DO BRASIL S.A.,12
2023,8,58160789,BCO SAFRA S.A.,1
2023,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,8,00360305,CAIXA ECONOMICA FEDERAL,14
2023,8,60701190,ITAÚ UNIBANCO S.A.,12
2023,9,60746948,BCO BRADESCO S.A.,8
2023,9,33479023,BCO CITIBANK S.A.,1
2023,9,00000000,BCO DO BRASIL S.A.,12
2023,9,58160789,BCO SAFRA S.A.,1
2023,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,9,00360305,CAIXA ECONOMICA FEDERAL,14
2023,9,60701190,ITAÚ UNIBANCO S.A.,11
2023,10,60746948,BCO BRADESCO S.A.,8
2023,10,33479023,BCO CITIBANK S.A.,1
2023,10,00000000,BCO DO BRASIL S.A.,12
2023,10,58160789,BCO SAFRA S.A.,1
2023,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,10,00360305,CAIXA ECONOMICA FEDERAL,14
2023,10,60701190,ITAÚ UNIBANCO S.A.,12
2023,11,60746948,BCO BRADESCO S.A.,10
2023,11,33479023,BCO CITIBANK S.A.,1
2023,11,00000000,BCO DO BRASIL S.A.,12
2023,11,58160789,BCO SAFRA S.A.,1
2023,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2023,11,00360305,CAIXA ECONOMICA FEDERAL,14
2023,11,60701190,ITAÚ UNIBANCO S.A.,11
2023,12,60746948,BCO BRADESCO S.A.,1
2023,12,33479023,BCO CITIBANK S.A.,1
2023,12,00000000,BCO DO BRASIL S.A.,1
2023,12,58160789,BCO SAFRA S.A.,1
2023,12,90400888,BCO SANTANDER (BRASIL) S.A.,1
2023,12,00360305,CAIXA ECONOMICA FEDERAL,1
2023,12,60701190,ITAÚ UNIBANCO S.A.,1
2024,1,60746948,BCO BRADESCO S.A.,10
2024,1,33479023,BCO CITIBANK S.A.,1
2024,1,00000000,BCO DO BRASIL S.A.,12
2024,1,58160789,BCO SAFRA S.A.,1
2024,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,1,00360305,CAIXA ECONOMICA FEDERAL,14
2024,1,60701190,ITAÚ UNIBANCO S.A.,10
2024,2,60746948,BCO BRADESCO S.A.,10
2024,2,33479023,BCO CITIBANK S.A.,1
2024,2,00000000,BCO DO BRASIL S.A.,12
2024,2,58160789,BCO SAFRA S.A.,1
2024,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,2,00360305,CAIXA ECONOMICA FEDERAL,14
2024,2,60701190,ITAÚ UNIBANCO S.A.,10
2024,3,60746948,BCO BRADESCO S.A.,10
2024,3,33479023,BCO CITIBANK S.A.,1
2024,3,00000000,BCO DO BRASIL S.A.,12
2024,3,58160789,BCO SAFRA S.A.,1
2024,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,3,00360305,CAIXA ECONOMICA FEDERAL,14
2024,3,60701190,ITAÚ UNIBANCO S.A.,10
2024,4,60746948,BCO BRADESCO S.A.,9
2024,4,33479023,BCO CITIBANK S.A.,1
2024,4,00000000,BCO DO BRASIL S.A.,12
2024,4,58160789,BCO SAFRA S.A.,1
2024,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,4,00360305,CAIXA ECONOMICA FEDERAL,14
2024,4,60701190,ITAÚ UNIBANCO S.A.,10
2024,5,60746948,BCO BRADESCO S.A.,9
2024,5,33479023,BCO CITIBANK S.A.,1
2024,5,00000000,BCO DO BRASIL S.A.,12
2024,5,58160789,BCO SAFRA S.A.,1
2024,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,5,00360305,CAIXA ECONOMICA FEDERAL,14
2024,5,60701190,ITAÚ UNIBANCO S.A.,10
2024,6,60746948,BCO BRADESCO S.A.,9
2024,6,33479023,BCO CITIBANK S.A.,1
2024,6,00000000,BCO DO BRASIL S.A.,12
2024,6,58160789,BCO SAFRA S.A.,1
2024,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,6,00360305,CAIXA ECONOMICA FEDERAL,14
2024,6,60701190,ITAÚ UNIBANCO S.A.,10
2024,7,60746948,BCO BRADESCO S.A.,9
2024,7,33479023,BCO CITIBANK S.A.,1
2024,7,00000000,BCO DO BRASIL S.A.,12
2024,7,58160789,BCO SAFRA S.A.,1
2024,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,7,00360305,CAIXA ECONOMICA FEDERAL,14
2024,7,60701190,ITAÚ UNIBANCO S.A.,10
2024,8,60746948,BCO BRADESCO S.A.,9
2024,8,33479023,BCO CITIBANK S.A.,1
2024,8,00000000,BCO DO BRASIL S.A.,12
2024,8,58160789,BCO SAFRA S.A.,1
2024,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,8,00360305,CAIXA ECONOMICA FEDERAL,12
2024,8,60701190,ITAÚ UNIBANCO S.A.,10
2024,9,60746948,BCO BRADESCO S.A.,9
2024,9,33479023,BCO CITIBANK S.A.,1
2024,9,00000000,BCO DO BRASIL S.A.,12
2024,9,58160789,BCO SAFRA S.A.,1
2024,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,9,00360305,CAIXA ECONOMICA FEDERAL,12
2024,9,60701190,ITAÚ UNIBANCO S.A.,10
2024,10,60746948,BCO BRADESCO S.A.,9
2024,10,33479023,BCO CITIBANK S.A.,1
2024,10,00000000,BCO DO BRASIL S.A.,12
2024,10,58160789,BCO SAFRA S.A.,1
2024,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,10,00360305,CAIXA ECONOMICA FEDERAL,12
2024,10,60701190,ITAÚ UNIBANCO S.A.,9
2024,11,60746948,BCO BRADESCO S.A.,9
2024,11,33479023,BCO CITIBANK S.A.,1
2024,11,00000000,BCO DO BRASIL S.A.,12
2024,11,58160789,BCO SAFRA S.A.,1
2024,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,11,00360305,CAIXA ECONOMICA FEDERAL,12
2024,11,60701190,ITAÚ UNIBANCO S.A.,9
2024,12,60746948,BCO BRADESCO S.A.,9
2024,12,33479023,BCO CITIBANK S.A.,1
2024,12,00000000,BCO DO BRASIL S.A.,12
2024,12,58160789,BCO SAFRA S.A.,1
2024,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2024,12,00360305,CAIXA ECONOMICA FEDERAL,12
2024,12,60701190,ITAÚ UNIBANCO S.A.,9
2025,1,60746948,BCO BRADESCO S.A.,9
2025,1,33479023,BCO CITIBANK S.A.,1
2025,1,00000000,BCO DO BRASIL S.A.,12
2025,1,58160789,BCO SAFRA S.A.,1
2025,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2025,1,00360305,CAIXA ECONOMICA FEDERAL,12
2025,1,60701190,ITAÚ UNIBANCO S.A.,9
2025,2,60746948,BCO BRADESCO S.A.,9
2025,2,33479023,BCO CITIBANK S.A.,1
2025,2,00000000,BCO DO BRASIL S.A.,12
2025,2,58160789,BCO SAFRA S.A.,1
2025,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2025,2,00360305,CAIXA ECONOMICA FEDERAL,12
