ano,mes,cnpj_basico,instituicao,agencias_processadas
2015,11,58160789,BCO SAFRA S.A.,1
2015,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,11,00360305,CAIXA ECONOMICA FEDERAL,14
2015,11,60701190,ITAÚ UNIBANCO S.A.,24
2015,11,01701201,KIRTON BANK,4
2015,12,00416968,BANCO INTER,1
2015,12,60746948,BCO BRADESCO S.A.,24
2015,12,07450604,BCO CCB BRASIL S.A.,1
2015,12,33479023,BCO CITIBANK S.A.,1
2015,12,00000000,BCO DO BRASIL S.A.,18
2015,12,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,12,58160789,BCO SAFRA S.A.,1
2015,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,12,00360305,CAIXA ECONOMICA FEDERAL,14
2015,12,60701190,ITAÚ UNIBANCO S.A.,24
2015,12,01701201,KIRTON BANK,4
2016,1,00416968,BANCO INTER,1
2016,1,60746948,BCO BRADESCO S.A.,24
2016,1,07450604,BCO CCB BRASIL S.A.,1
2016,1,33479023,BCO CITIBANK S.A.,1
2016,1,00000000,BCO DO BRASIL S.A.,18
2016,1,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,1,58160789,BCO SAFRA S.A.,1
2016,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,1,00360305,CAIXA ECONOMICA FEDERAL,14
2016,1,60701190,ITAÚ UNIBANCO S.A.,23
2016,1,01701201,KIRTON BANK,4
2016,2,00416968,BANCO INTER,1
2016,2,60746948,BCO BRADESCO S.A.,24
2016,2,07450604,BCO CCB BRASIL S.A.,1
2016,2,33479023,BCO CITIBANK S.A.,1
2016,2,00000000,BCO DO BRASIL S.A.,18
2016,2,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,2,58160789,BCO SAFRA S.A.,1
2016,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,2,00360305,CAIXA ECONOMICA FEDERAL,14
2016,2,60701190,ITAÚ UNIBANCO S.A.,23
2016,2,01701201,KIRTON BANK,4
2016,3,00416968,BANCO INTER,1
2016,3,60746948,BCO BRADESCO S.A.,24
2016,3,07450604,BCO CCB BRASIL S.A.,1
2016,3,33479023,BCO CITIBANK S.A.,1
2016,3,00000000,BCO DO BRASIL S.A.,18
2016,3,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,3,58160789,BCO SAFRA S.A.,1
2016,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,3,00360305,CAIXA ECONOMICA FEDERAL,14
2016,3,60701190,ITAÚ UNIBANCO S.A.,22
2016,3,01701201,KIRTON BANK,4
2016,4,00416968,BANCO INTER,1
2016,4,60746948,BCO BRADESCO S.A.,24
2016,4,07450604,BCO CCB BRASIL S.A.,1
2016,4,33479023,BCO CITIBANK S.A.,1
2016,4,00000000,BCO DO BRASIL S.A.,18
2016,4,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,4,58160789,BCO SAFRA S.A.,1
2016,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,4,00360305,CAIXA ECONOMICA FEDERAL,14
2016,4,60701190,ITAÚ UNIBANCO S.A.,22
2016,4,01701201,KIRTON BANK,4
2016,5,00416968,BANCO INTER,1
2016,5,60746948,BCO BRADESCO S.A.,24
2016,5,07450604,BCO CCB BRASIL S.A.,1
2016,5,33479023,BCO CITIBANK S.A.,1
2016,5,00000000,BCO DO BRASIL S.A.,18
2016,5,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,5,58160789,BCO SAFRA S.A.,1
2016,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,5,00360305,CAIXA ECONOMICA FEDERAL,14
2016,5,60701190,ITAÚ UNIBANCO S.A.,21
2016,5,01701201,KIRTON BANK,4
2016,6,00416968,BANCO INTER,1
2016,6,60746948,BCO BRADESCO S.A.,25
2016,6,07450604,BCO CCB BRASIL S.A.,1
2016,6,33479023,BCO CITIBANK S.A.,1
2016,6,00000000,BCO DO BRASIL S.A.,18
2016,6,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,6,58160789,BCO SAFRA S.A.,1
2016,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
